War URI,War Label
http://www.wikidata.org/entity/Q1418062,Fourth Syrian War (219–217 BCE)
http://www.wikidata.org/entity/Q1418582,Russo-Persian War of 1722–23
http://www.wikidata.org/entity/Q1420115,Russo-Persian War of 1826–28
http://www.wikidata.org/entity/Q1426479,Siamese-Cambodian War 1603
http://www.wikidata.org/entity/Q1429256,War of the League of Cognac
http://www.wikidata.org/entity/Q1432300,War of Agis
http://www.wikidata.org/entity/Q1434602,Libyan–Egyptian War
http://www.wikidata.org/entity/Q1441223,Siamese-Burmese War 1613–1618
http://www.wikidata.org/entity/Q1450532,Franco-Turkish War
http://www.wikidata.org/entity/Q1450594,Hundred Thousand Sons of Saint Louis
http://www.wikidata.org/entity/Q1453897,Freiburg War
